FIPS,Name,State,county_lower
1001,Autauga,AL,autauga
1003,Baldwin,AL,baldwin
1005,Barbour,AL,barbour
1007,Bibb,AL,bibb
1009,Blount,AL,blount
1011,Bullock,AL,bullock
1013,Butler,AL,butler
1015,Calhoun,AL,calhoun
1017,Chambers,AL,chambers
1019,Cherokee,AL,cherokee
1021,Chilton,AL,chilton
1023,Choctaw,AL,choctaw
1025,Clarke,AL,clarke
1027,Clay,AL,clay
1029,Cleburne,AL,cleburne
1031,Coffee,AL,coffee
1033,Colbert,AL,colbert
1035,Conecuh,AL,conecuh
1037,Coosa,AL,coosa
1039,Covington,AL,covington
1041,Crenshaw,AL,crenshaw
1043,Cullman,AL,cullman
1045,Dale,AL,dale
1047,Dallas,AL,dallas
1049,De Kalb,AL,dekalb
1051,Elmore,AL,elmore
1053,Escambia,AL,escambia
1055,Etowah,AL,etowah
1057,Fayette,AL,fayette
1059,Franklin,AL,franklin
1061,Geneva,AL,geneva
1063,Greene,AL,greene
1065,Hale,AL,hale
1067,Henry,AL,henry
1069,Houston,AL,houston
1071,Jackson,AL,jackson
1073,Jefferson,AL,jefferson
1075,Lamar,AL,lamar
1077,Lauderdale,AL,lauderdale
1079,Lawrence,AL,lawrence
1081,Lee,AL,lee
1083,Limestone,AL,limestone
1085,Lowndes,AL,lowndes
1087,Macon,AL,macon
1089,Madison,AL,madison
1091,Marengo,AL,marengo
1093,Marion,AL,marion
1095,Marshall,AL,marshall
1097,Mobile,AL,mobile
1099,Monroe,AL,monroe
1101,Montgomery,AL,montgomery
1103,Morgan,AL,morgan
1105,Perry,AL,perry
1107,Pickens,AL,pickens
1109,Pike,AL,pike
1111,Randolph,AL,randolph
1113,Russell,AL,russell
1115,St Clair,AL,stclair
1117,Shelby,AL,shelby
1119,Sumter,AL,sumter
1121,Talladega,AL,talladega
1123,Tallapoosa,AL,tallapoosa
1125,Tuscaloosa,AL,tuscaloosa
1127,Walker,AL,walker
1129,Washington,AL,washington
1131,Wilcox,AL,wilcox
1133,Winston,AL,winston
2013,Aleutians East,AK,aleutianseast
2016,Aleutians West,AK,aleutianswest
2020,Anchorage,AK,anchorage
2050,Bethel,AK,bethel
2060,Bristol Bay,AK,bristolbay
2068,Denali,AK,denali
2070,Dillingham,AK,dillingham
2090,Fairbanks North Star,AK,fairbanksnorthstar
2100,Haines,AK,haines
2110,Juneau,AK,juneau
2122,Kenai Peninsula,AK,kenaipeninsula
2130,Ketchikan Gateway,AK,ketchikangateway
2150,Kodiak Island,AK,kodiakisland
2164,Lake and Peninsula,AK,lakeandpeninsula
2170,Matanuska-Susitna,AK,matanuska-susitna
2180,Nome,AK,nome
2185,North Slope,AK,northslope
2188,Northwest Arctic,AK,northwestarctic
2201,Prince of Wales-Outer Ketchikan,AK,princeofwales-outerketchikan
2220,Sitka,AK,sitka
2232,Skagway-Hoonah-Angoon,AK,skagway-hoonah-angoon
2240,Southeast Fairbanks,AK,southeastfairbanks
2261,Valdez-Cordova,AK,valdez-cordova
2270,Wade Hampton,AK,wadehampton
2280,Wrangell-Petersburg,AK,wrangell-petersburg
2282,Yakutat,AK,yakutat
2290,Yukon-Koyukuk,AK,yukon-koyukuk
4001,Apache,AZ,apache
4003,Cochise,AZ,cochise
4005,Coconino,AZ,coconino
4007,Gila,AZ,gila
4009,Graham,AZ,graham
4011,Greenlee,AZ,greenlee
4012,La Paz,AZ,lapaz
4013,Maricopa,AZ,maricopa
4015,Mohave,AZ,mohave
4017,Navajo,AZ,navajo
4019,Pima,AZ,pima
4021,Pinal,AZ,pinal
4023,Santa Cruz,AZ,santacruz
4025,Yavapai,AZ,yavapai
4027,Yuma,AZ,yuma
5001,Arkansas,AR,arkansas
5003,Ashley,AR,ashley
5005,Baxter,AR,baxter
5007,Benton,AR,benton
5009,Boone,AR,boone
5011,Bradley,AR,bradley
5013,Calhoun,AR,calhoun
5015,Carroll,AR,carroll
5017,Chicot,AR,chicot
5019,Clark,AR,clark
5021,Clay,AR,clay
5023,Cleburne,AR,cleburne
5025,Cleveland,AR,cleveland
5027,Columbia,AR,columbia
5029,Conway,AR,conway
5031,Craighead,AR,craighead
5033,Crawford,AR,crawford
5035,Crittenden,AR,crittenden
5037,Cross,AR,cross
5039,Dallas,AR,dallas
5041,Desha,AR,desha
5043,Drew,AR,drew
5045,Faulkner,AR,faulkner
5047,Franklin,AR,franklin
5049,Fulton,AR,fulton
5051,Garland,AR,garland
5053,Grant,AR,grant
5055,Greene,AR,greene
5057,Hempstead,AR,hempstead
5059,Hot Spring,AR,hotspring
5061,Howard,AR,howard
5063,Independence,AR,independence
5065,Izard,AR,izard
5067,Jackson,AR,jackson
5069,Jefferson,AR,jefferson
5071,Johnson,AR,johnson
5073,Lafayette,AR,lafayette
5075,Lawrence,AR,lawrence
5077,Lee,AR,lee
5079,Lincoln,AR,lincoln
5081,Little River,AR,littleriver
5083,Logan,AR,logan
5085,Lonoke,AR,lonoke
5087,Madison,AR,madison
5089,Marion,AR,marion
5091,Miller,AR,miller
5093,Mississippi,AR,mississippi
5095,Monroe,AR,monroe
5097,Montgomery,AR,montgomery
5099,Nevada,AR,nevada
5101,Newton,AR,newton
5103,Ouachita,AR,ouachita
5105,Perry,AR,perry
5107,Phillips,AR,phillips
5109,Pike,AR,pike
5111,Poinsett,AR,poinsett
5113,Polk,AR,polk
5115,Pope,AR,pope
5117,Prairie,AR,prairie
5119,Pulaski,AR,pulaski
5121,Randolph,AR,randolph
5123,St Francis,AR,stfrancis
5125,Saline,AR,saline
5127,Scott,AR,scott
5129,Searcy,AR,searcy
5131,Sebastian,AR,sebastian
5133,Sevier,AR,sevier
5135,Sharp,AR,sharp
5137,Stone,AR,stone
5139,Union,AR,union
5141,Van Buren,AR,vanburen
5143,Washington,AR,washington
5145,White,AR,white
5147,Woodruff,AR,woodruff
5149,Yell,AR,yell
6001,Alameda,CA,alameda
6003,Alpine,CA,alpine
6005,Amador,CA,amador
6007,Butte,CA,butte
6009,Calaveras,CA,calaveras
6011,Colusa,CA,colusa
6013,Contra Costa,CA,contracosta
6015,Del Norte,CA,delnorte
6017,El Dorado,CA,eldorado
6019,Fresno,CA,fresno
6021,Glenn,CA,glenn
6023,Humboldt,CA,humboldt
6025,Imperial,CA,imperial
6027,Inyo,CA,inyo
6029,Kern,CA,kern
6031,Kings,CA,kings
6033,Lake,CA,lake
6035,Lassen,CA,lassen
6037,Los Angeles,CA,losangeles
6039,Madera,CA,madera
6041,Marin,CA,marin
6043,Mariposa,CA,mariposa
6045,Mendocino,CA,mendocino
6047,Merced,CA,merced
6049,Modoc,CA,modoc
6051,Mono,CA,mono
6053,Monterey,CA,monterey
6055,Napa,CA,napa
6057,Nevada,CA,nevada
6059,Orange,CA,orange
6061,Placer,CA,placer
6063,Plumas,CA,plumas
6065,Riverside,CA,riverside
6067,Sacramento,CA,sacramento
6069,San Benito,CA,sanbenito
6071,San Bernardino,CA,sanbernardino
6073,San Diego,CA,sandiego
6075,San Francisco,CA,sanfrancisco
6077,San Joaquin,CA,sanjoaquin
6079,San Luis Obispo,CA,sanluisobispo
6081,San Mateo,CA,sanmateo
6083,Santa Barbara,CA,santabarbara
6085,Santa Clara,CA,santaclara
6087,Santa Cruz,CA,santacruz
6089,Shasta,CA,shasta
6091,Sierra,CA,sierra
6093,Siskiyou,CA,siskiyou
6095,Solano,CA,solano
6097,Sonoma,CA,sonoma
6099,Stanislaus,CA,stanislaus
6101,Sutter,CA,sutter
6103,Tehama,CA,tehama
6105,Trinity,CA,trinity
6107,Tulare,CA,tulare
6109,Tuolumne,CA,tuolumne
6111,Ventura,CA,ventura
6113,Yolo,CA,yolo
6115,Yuba,CA,yuba
8001,Adams,CO,adams
8003,Alamosa,CO,alamosa
8005,Arapahoe,CO,arapahoe
8007,Archuleta,CO,archuleta
8009,Baca,CO,baca
8011,Bent,CO,bent
8013,Boulder,CO,boulder
8015,Chaffee,CO,chaffee
8017,Cheyenne,CO,cheyenne
8019,Clear Creek,CO,clearcreek
8021,Conejos,CO,conejos
8023,Costilla,CO,costilla
8025,Crowley,CO,crowley
8027,Custer,CO,custer
8029,Delta,CO,delta
8031,Denver,CO,denver
8033,Dolores,CO,dolores
8035,Douglas,CO,douglas
8037,Eagle,CO,eagle
8039,Elbert,CO,elbert
8041,El Paso,CO,elpaso
8043,Fremont,CO,fremont
8045,Garfield,CO,garfield
8047,Gilpin,CO,gilpin
8049,Grand,CO,grand
8051,Gunnison,CO,gunnison
8053,Hinsdale,CO,hinsdale
8055,Huerfano,CO,huerfano
8057,Jackson,CO,jackson
8059,Jefferson,CO,jefferson
8061,Kiowa,CO,kiowa
8063,Kit Carson,CO,kitcarson
8065,Lake,CO,lake
8067,La Plata,CO,laplata
8069,Larimer,CO,larimer
8071,Las Animas,CO,lasanimas
8073,Lincoln,CO,lincoln
8075,Logan,CO,logan
8077,Mesa,CO,mesa
8079,Mineral,CO,mineral
8081,Moffat,CO,moffat
8083,Montezuma,CO,montezuma
8085,Montrose,CO,montrose
8087,Morgan,CO,morgan
8089,Otero,CO,otero
8091,Ouray,CO,ouray
8093,Park,CO,park
8095,Phillips,CO,phillips
8097,Pitkin,CO,pitkin
8099,Prowers,CO,prowers
8101,Pueblo,CO,pueblo
8103,Rio Blanco,CO,rioblanco
8105,Rio Grande,CO,riogrande
8107,Routt,CO,routt
8109,Saguache,CO,saguache
8111,San Juan,CO,sanjuan
8113,San Miguel,CO,sanmiguel
8115,Sedgwick,CO,sedgwick
8117,Summit,CO,summit
8119,Teller,CO,teller
8121,Washington,CO,washington
8123,Weld,CO,weld
8125,Yuma,CO,yuma
9001,Fairfield,CT,fairfield
9003,Hartford,CT,hartford
9005,Litchfield,CT,litchfield
9007,Middlesex,CT,middlesex
9009,New Haven,CT,newhaven
9011,New London,CT,newlondon
9013,Tolland,CT,tolland
9015,Windham,CT,windham
10001,Kent,DE,kent
10003,New Castle,DE,newcastle
10005,Sussex,DE,sussex
11001,Washington,DC,washington
12001,Alachua,FL,alachua
12003,Baker,FL,baker
12005,Bay,FL,bay
12007,Bradford,FL,bradford
12009,Brevard,FL,brevard
12011,Broward,FL,broward
12013,Calhoun,FL,calhoun
12015,Charlotte,FL,charlotte
12017,Citrus,FL,citrus
12019,Clay,FL,clay
12021,Collier,FL,collier
12023,Columbia,FL,columbia
12025,Dade,FL,dade
12027,De Soto,FL,desoto
12029,Dixie,FL,dixie
12031,Duval,FL,duval
12033,Escambia,FL,escambia
12035,Flagler,FL,flagler
12037,Franklin,FL,franklin
12039,Gadsden,FL,gadsden
12041,Gilchrist,FL,gilchrist
12043,Glades,FL,glades
12045,Gulf,FL,gulf
12047,Hamilton,FL,hamilton
12049,Hardee,FL,hardee
12051,Hendry,FL,hendry
12053,Hernando,FL,hernando
12055,Highlands,FL,highlands
12057,Hillsborough,FL,hillsborough
12059,Holmes,FL,holmes
12061,Indian River,FL,indianriver
12063,Jackson,FL,jackson
12065,Jefferson,FL,jefferson
12067,Lafayette,FL,lafayette
12069,Lake,FL,lake
12071,Lee,FL,lee
12073,Leon,FL,leon
12075,Levy,FL,levy
12077,Liberty,FL,liberty
12079,Madison,FL,madison
12081,Manatee,FL,manatee
12083,Marion,FL,marion
12085,Martin,FL,martin
12087,Monroe,FL,monroe
12089,Nassau,FL,nassau
12091,Okaloosa,FL,okaloosa
12093,Okeechobee,FL,okeechobee
12095,Orange,FL,orange
12097,Osceola,FL,osceola
12099,Palm Beach,FL,palmbeach
12101,Pasco,FL,pasco
12103,Pinellas,FL,pinellas
12105,Polk,FL,polk
12107,Putnam,FL,putnam
12109,St Johns,FL,stjohns
12111,St Lucie,FL,stlucie
12113,Santa Rosa,FL,santarosa
12115,Sarasota,FL,sarasota
12117,Seminole,FL,seminole
12119,Sumter,FL,sumter
12121,Suwannee,FL,suwannee
12123,Taylor,FL,taylor
12125,Union,FL,union
12127,Volusia,FL,volusia
12129,Wakulla,FL,wakulla
12131,Walton,FL,walton
12133,Washington,FL,washington
13001,Appling,GA,appling
13003,Atkinson,GA,atkinson
13005,Bacon,GA,bacon
13007,Baker,GA,baker
13009,Baldwin,GA,baldwin
13011,Banks,GA,banks
13013,Barrow,GA,barrow
13015,Bartow,GA,bartow
13017,Ben Hill,GA,benhill
13019,Berrien,GA,berrien
13021,Bibb,GA,bibb
13023,Bleckley,GA,bleckley
13025,Brantley,GA,brantley
13027,Brooks,GA,brooks
13029,Bryan,GA,bryan
13031,Bulloch,GA,bulloch
13033,Burke,GA,burke
13035,Butts,GA,butts
13037,Calhoun,GA,calhoun
13039,Camden,GA,camden
13043,Candler,GA,candler
13045,Carroll,GA,carroll
13047,Catoosa,GA,catoosa
13049,Charlton,GA,charlton
13051,Chatham,GA,chatham
13053,Chattahoochee,GA,chattahoochee
13055,Chattooga,GA,chattooga
13057,Cherokee,GA,cherokee
13059,Clarke,GA,clarke
13061,Clay,GA,clay
13063,Clayton,GA,clayton
13065,Clinch,GA,clinch
13067,Cobb,GA,cobb
13069,Coffee,GA,coffee
13071,Colquitt,GA,colquitt
13073,Columbia,GA,columbia
13075,Cook,GA,cook
13077,Coweta,GA,coweta
13079,Crawford,GA,crawford
13081,Crisp,GA,crisp
13083,Dade,GA,dade
13085,Dawson,GA,dawson
13087,Decatur,GA,decatur
13089,De Kalb,GA,dekalb
13091,Dodge,GA,dodge
13093,Dooly,GA,dooly
13095,Dougherty,GA,dougherty
13097,Douglas,GA,douglas
13099,Early,GA,early
13101,Echols,GA,echols
13103,Effingham,GA,effingham
13105,Elbert,GA,elbert
13107,Emanuel,GA,emanuel
13109,Evans,GA,evans
13111,Fannin,GA,fannin
13113,Fayette,GA,fayette
13115,Floyd,GA,floyd
13117,Forsyth,GA,forsyth
13119,Franklin,GA,franklin
13121,Fulton,GA,fulton
13123,Gilmer,GA,gilmer
13125,Glascock,GA,glascock
13127,Glynn,GA,glynn
13129,Gordon,GA,gordon
13131,Grady,GA,grady
13133,Greene,GA,greene
13135,Gwinnett,GA,gwinnett
13137,Habersham,GA,habersham
13139,Hall,GA,hall
13141,Hancock,GA,hancock
13143,Haralson,GA,haralson
13145,Harris,GA,harris
13147,Hart,GA,hart
13149,Heard,GA,heard
13151,Henry,GA,henry
13153,Houston,GA,houston
13155,Irwin,GA,irwin
13157,Jackson,GA,jackson
13159,Jasper,GA,jasper
13161,Jeff Davis,GA,jeffdavis
13163,Jefferson,GA,jefferson
13165,Jenkins,GA,jenkins
13167,Johnson,GA,johnson
13169,Jones,GA,jones
13171,Lamar,GA,lamar
13173,Lanier,GA,lanier
13175,Laurens,GA,laurens
13177,Lee,GA,lee
13179,Liberty,GA,liberty
13181,Lincoln,GA,lincoln
13183,Long,GA,long
13185,Lowndes,GA,lowndes
13187,Lumpkin,GA,lumpkin
13189,McDuffie,GA,mcduffie
13191,McIntosh,GA,mcintosh
13193,Macon,GA,macon
13195,Madison,GA,madison
13197,Marion,GA,marion
13199,Meriwether,GA,meriwether
13201,Miller,GA,miller
13205,Mitchell,GA,mitchell
13207,Monroe,GA,monroe
13209,Montgomery,GA,montgomery
13211,Morgan,GA,morgan
13213,Murray,GA,murray
13215,Muscogee,GA,muscogee
13217,Newton,GA,newton
13219,Oconee,GA,oconee
13221,Oglethorpe,GA,oglethorpe
13223,Paulding,GA,paulding
13225,Peach,GA,peach
13227,Pickens,GA,pickens
13229,Pierce,GA,pierce
13231,Pike,GA,pike
13233,Polk,GA,polk
13235,Pulaski,GA,pulaski
13237,Putnam,GA,putnam
13239,Quitman,GA,quitman
13241,Rabun,GA,rabun
13243,Randolph,GA,randolph
13245,Richmond,GA,richmond
13247,Rockdale,GA,rockdale
13249,Schley,GA,schley
13251,Screven,GA,screven
13253,Seminole,GA,seminole
13255,Spalding,GA,spalding
13257,Stephens,GA,stephens
13259,Stewart,GA,stewart
13261,Sumter,GA,sumter
13263,Talbot,GA,talbot
13265,Taliaferro,GA,taliaferro
13267,Tattnall,GA,tattnall
13269,Taylor,GA,taylor
13271,Telfair,GA,telfair
13273,Terrell,GA,terrell
13275,Thomas,GA,thomas
13277,Tift,GA,tift
13279,Toombs,GA,toombs
13281,Towns,GA,towns
13283,Treutlen,GA,treutlen
13285,Troup,GA,troup
13287,Turner,GA,turner
13289,Twiggs,GA,twiggs
13291,Union,GA,union
13293,Upson,GA,upson
13295,Walker,GA,walker
13297,Walton,GA,walton
13299,Ware,GA,ware
13301,Warren,GA,warren
13303,Washington,GA,washington
13305,Wayne,GA,wayne
13307,Webster,GA,webster
13309,Wheeler,GA,wheeler
13311,White,GA,white
13313,Whitfield,GA,whitfield
13315,Wilcox,GA,wilcox
13317,Wilkes,GA,wilkes
13319,Wilkinson,GA,wilkinson
13321,Worth,GA,worth
15001,Hawaii,HI,hawaii
15003,Honolulu,HI,honolulu
15007,Kauai,HI,kauai
15009,Maui,HI,maui
16001,Ada,ID,ada
16003,Adams,ID,adams
16005,Bannock,ID,bannock
16007,Bear Lake,ID,bearlake
16009,Benewah,ID,benewah
16011,Bingham,ID,bingham
16013,Blaine,ID,blaine
16015,Boise,ID,boise
16017,Bonner,ID,bonner
16019,Bonneville,ID,bonneville
16021,Boundary,ID,boundary
16023,Butte,ID,butte
16025,Camas,ID,camas
16027,Canyon,ID,canyon
16029,Caribou,ID,caribou
16031,Cassia,ID,cassia
16033,Clark,ID,clark
16035,Clearwater,ID,clearwater
16037,Custer,ID,custer
16039,Elmore,ID,elmore
16041,Franklin,ID,franklin
16043,Fremont,ID,fremont
16045,Gem,ID,gem
16047,Gooding,ID,gooding
16049,Idaho,ID,idaho
16051,Jefferson,ID,jefferson
16053,Jerome,ID,jerome
16055,Kootenai,ID,kootenai
16057,Latah,ID,latah
16059,Lemhi,ID,lemhi
16061,Lewis,ID,lewis
16063,Lincoln,ID,lincoln
16065,Madison,ID,madison
16067,Minidoka,ID,minidoka
16069,Nez Perce,ID,nezperce
16071,Oneida,ID,oneida
16073,Owyhee,ID,owyhee
16075,Payette,ID,payette
16077,Power,ID,power
16079,Shoshone,ID,shoshone
16081,Teton,ID,teton
16083,Twin Falls,ID,twinfalls
16085,Valley,ID,valley
16087,Washington,ID,washington
17001,Adams,IL,adams
17003,Alexander,IL,alexander
17005,Bond,IL,bond
17007,Boone,IL,boone
17009,Brown,IL,brown
17011,Bureau,IL,bureau
17013,Calhoun,IL,calhoun
17015,Carroll,IL,carroll
17017,Cass,IL,cass
17019,Champaign,IL,champaign
17021,Christian,IL,christian
17023,Clark,IL,clark
17025,Clay,IL,clay
17027,Clinton,IL,clinton
17029,Coles,IL,coles
17031,Cook,IL,cook
17033,Crawford,IL,crawford
17035,Cumberland,IL,cumberland
17037,De Kalb,IL,dekalb
17039,De Witt,IL,dewitt
17041,Douglas,IL,douglas
17043,Du Page,IL,dupage
17045,Edgar,IL,edgar
17047,Edwards,IL,edwards
17049,Effingham,IL,effingham
17051,Fayette,IL,fayette
17053,Ford,IL,ford
17055,Franklin,IL,franklin
17057,Fulton,IL,fulton
17059,Gallatin,IL,gallatin
17061,Greene,IL,greene
17063,Grundy,IL,grundy
17065,Hamilton,IL,hamilton
17067,Hancock,IL,hancock
17069,Hardin,IL,hardin
17071,Henderson,IL,henderson
17073,Henry,IL,henry
17075,Iroquois,IL,iroquois
17077,Jackson,IL,jackson
17079,Jasper,IL,jasper
17081,Jefferson,IL,jefferson
17083,Jersey,IL,jersey
17085,Jo Daviess,IL,jodaviess
17087,Johnson,IL,johnson
17089,Kane,IL,kane
17091,Kankakee,IL,kankakee
17093,Kendall,IL,kendall
17095,Knox,IL,knox
17097,Lake,IL,lake
17099,La Salle,IL,lasalle
17101,Lawrence,IL,lawrence
17103,Lee,IL,lee
17105,Livingston,IL,livingston
17107,Logan,IL,logan
17109,McDonough,IL,mcdonough
17111,McHenry,IL,mchenry
17113,McLean,IL,mclean
17115,Macon,IL,macon
17117,Macoupin,IL,macoupin
17119,Madison,IL,madison
17121,Marion,IL,marion
17123,Marshall,IL,marshall
17125,Mason,IL,mason
17127,Massac,IL,massac
17129,Menard,IL,menard
17131,Mercer,IL,mercer
17133,Monroe,IL,monroe
17135,Montgomery,IL,montgomery
17137,Morgan,IL,morgan
17139,Moultrie,IL,moultrie
17141,Ogle,IL,ogle
17143,Peoria,IL,peoria
17145,Perry,IL,perry
17147,Piatt,IL,piatt
17149,Pike,IL,pike
17151,Pope,IL,pope
17153,Pulaski,IL,pulaski
17155,Putnam,IL,putnam
17157,Randolph,IL,randolph
17159,Richland,IL,richland
17161,Rock Island,IL,rockisland
17163,St Clair,IL,stclair
17165,Saline,IL,saline
17167,Sangamon,IL,sangamon
17169,Schuyler,IL,schuyler
17171,Scott,IL,scott
17173,Shelby,IL,shelby
17175,Stark,IL,stark
17177,Stephenson,IL,stephenson
17179,Tazewell,IL,tazewell
17181,Union,IL,union
17183,Vermilion,IL,vermilion
17185,Wabash,IL,wabash
17187,Warren,IL,warren
17189,Washington,IL,washington
17191,Wayne,IL,wayne
17193,White,IL,white
17195,Whiteside,IL,whiteside
17197,Will,IL,will
17199,Williamson,IL,williamson
17201,Winnebago,IL,winnebago
17203,Woodford,IL,woodford
18001,Adams,IN,adams
18003,Allen,IN,allen
18005,Bartholomew,IN,bartholomew
18007,Benton,IN,benton
18009,Blackford,IN,blackford
18011,Boone,IN,boone
18013,Brown,IN,brown
18015,Carroll,IN,carroll
18017,Cass,IN,cass
18019,Clark,IN,clark
18021,Clay,IN,clay
18023,Clinton,IN,clinton
18025,Crawford,IN,crawford
18027,Daviess,IN,daviess
18029,Dearborn,IN,dearborn
18031,Decatur,IN,decatur
18033,De Kalb,IN,dekalb
18035,Delaware,IN,delaware
18037,Dubois,IN,dubois
18039,Elkhart,IN,elkhart
18041,Fayette,IN,fayette
18043,Floyd,IN,floyd
18045,Fountain,IN,fountain
18047,Franklin,IN,franklin
18049,Fulton,IN,fulton
18051,Gibson,IN,gibson
18053,Grant,IN,grant
18055,Greene,IN,greene
18057,Hamilton,IN,hamilton
18059,Hancock,IN,hancock
18061,Harrison,IN,harrison
18063,Hendricks,IN,hendricks
18065,Henry,IN,henry
18067,Howard,IN,howard
18069,Huntington,IN,huntington
18071,Jackson,IN,jackson
18073,Jasper,IN,jasper
18075,Jay,IN,jay
18077,Jefferson,IN,jefferson
18079,Jennings,IN,jennings
18081,Johnson,IN,johnson
18083,Knox,IN,knox
18085,Kosciusko,IN,kosciusko
18087,La Grange,IN,lagrange
18089,Lake,IN,lake
18091,La Porte,IN,laporte
18093,Lawrence,IN,lawrence
18095,Madison,IN,madison
18097,Marion,IN,marion
18099,Marshall,IN,marshall
18101,Martin,IN,martin
18103,Miami,IN,miami
18105,Monroe,IN,monroe
18107,Montgomery,IN,montgomery
18109,Morgan,IN,morgan
18111,Newton,IN,newton
18113,Noble,IN,noble
18115,Ohio,IN,ohio
18117,Orange,IN,orange
18119,Owen,IN,owen
18121,Parke,IN,parke
18123,Perry,IN,perry
18125,Pike,IN,pike
18127,Porter,IN,porter
18129,Posey,IN,posey
18131,Pulaski,IN,pulaski
18133,Putnam,IN,putnam
18135,Randolph,IN,randolph
18137,Ripley,IN,ripley
18139,Rush,IN,rush
18141,St Joseph,IN,stjoseph
18143,Scott,IN,scott
18145,Shelby,IN,shelby
18147,Spencer,IN,spencer
18149,Starke,IN,starke
18151,Steuben,IN,steuben
18153,Sullivan,IN,sullivan
18155,Switzerland,IN,switzerland
18157,Tippecanoe,IN,tippecanoe
18159,Tipton,IN,tipton
18161,Union,IN,union
18163,Vanderburgh,IN,vanderburgh
18165,Vermillion,IN,vermillion
18167,Vigo,IN,vigo
18169,Wabash,IN,wabash
18171,Warren,IN,warren
18173,Warrick,IN,warrick
18175,Washington,IN,washington
18177,Wayne,IN,wayne
18179,Wells,IN,wells
18181,White,IN,white
18183,Whitley,IN,whitley
19001,Adair,IA,adair
19003,Adams,IA,adams
19005,Allamakee,IA,allamakee
19007,Appanoose,IA,appanoose
19009,Audubon,IA,audubon
19011,Benton,IA,benton
19013,Black Hawk,IA,blackhawk
19015,Boone,IA,boone
19017,Bremer,IA,bremer
19019,Buchanan,IA,buchanan
19021,Buena Vista,IA,buenavista
19023,Butler,IA,butler
19025,Calhoun,IA,calhoun
19027,Carroll,IA,carroll
19029,Cass,IA,cass
19031,Cedar,IA,cedar
19033,Cerro Gordo,IA,cerrogordo
19035,Cherokee,IA,cherokee
19037,Chickasaw,IA,chickasaw
19039,Clarke,IA,clarke
19041,Clay,IA,clay
19043,Clayton,IA,clayton
19045,Clinton,IA,clinton
19047,Crawford,IA,crawford
19049,Dallas,IA,dallas
19051,Davis,IA,davis
19053,Decatur,IA,decatur
19055,Delaware,IA,delaware
19057,Des Moines,IA,desmoines
19059,Dickinson,IA,dickinson
19061,Dubuque,IA,dubuque
19063,Emmet,IA,emmet
19065,Fayette,IA,fayette
19067,Floyd,IA,floyd
19069,Franklin,IA,franklin
19071,Fremont,IA,fremont
19073,Greene,IA,greene
